layer,feature,feature_id,graph_count,form_count,forms,families
15,12004,L15_F12004,3,1,applied,addition
16,439,L16_F439,3,1,applied,addition
16,2266,L16_F2266,3,1,applied,"addition,subtraction"
17,8365,L17_F8365,3,1,applied,addition
18,11741,L18_F11741,3,2,"applied,implicit","addition,multiplication"
18,14777,L18_F14777,3,1,explicit,"addition,multiplication"
19,3346,L19_F3346,3,1,applied,"addition,subtraction"
19,4466,L19_F4466,3,1,implicit,addition
19,7901,L19_F7901,3,1,explicit,addition
19,8283,L19_F8283,3,1,applied,addition
19,10159,L19_F10159,3,1,explicit,"addition,multiplication"
19,10291,L19_F10291,3,1,explicit,addition
20,8689,L20_F8689,3,1,applied,addition
20,14122,L20_F14122,3,1,explicit,"addition,multiplication"
21,958,L21_F958,3,1,explicit,"addition,subtraction"
21,7090,L21_F7090,3,1,applied,"addition,subtraction"
22,11592,L22_F11592,3,1,explicit,"addition,multiplication,subtraction"
22,12670,L22_F12670,3,1,explicit,addition
23,3280,L23_F3280,3,1,applied,addition
23,3725,L23_F3725,3,1,explicit,"addition,multiplication"
23,6589,L23_F6589,3,1,explicit,"addition,subtraction"
23,10580,L23_F10580,3,1,explicit,addition
24,312,L24_F312,3,1,explicit,"addition,multiplication"
24,8232,L24_F8232,3,2,"explicit,implicit",addition
24,10182,L24_F10182,3,1,implicit,addition
24,14431,L24_F14431,3,1,implicit,addition
24,14695,L24_F14695,3,1,explicit,addition
0,165,L0_F165,2,1,implicit,addition
0,2053,L0_F2053,2,1,explicit,"addition,subtraction"
0,10127,L0_F10127,2,1,applied,"addition,subtraction"
0,14652,L0_F14652,2,1,implicit,addition
1,7580,L1_F7580,2,1,implicit,addition
1,14016,L1_F14016,2,1,implicit,addition
2,3062,L2_F3062,2,1,explicit,"addition,subtraction"
2,3992,L2_F3992,2,1,applied,addition
2,15209,L2_F15209,2,1,applied,addition
3,13798,L3_F13798,2,1,applied,"addition,subtraction"
4,5709,L4_F5709,2,1,applied,addition
4,7037,L4_F7037,2,1,explicit,addition
4,9653,L4_F9653,2,1,explicit,addition
8,13316,L8_F13316,2,1,implicit,addition
10,7426,L10_F7426,2,1,applied,"multiplication,subtraction"
10,8218,L10_F8218,2,1,applied,addition
11,8983,L11_F8983,2,1,applied,addition
12,6695,L12_F6695,2,1,applied,addition
13,6649,L13_F6649,2,1,applied,addition
14,6520,L14_F6520,2,1,applied,addition
15,892,L15_F892,2,1,explicit,"multiplication,subtraction"
15,5420,L15_F5420,2,1,explicit,addition
15,8285,L15_F8285,2,1,implicit,addition
16,3659,L16_F3659,2,1,applied,addition
16,5003,L16_F5003,2,1,explicit,addition
16,14449,L16_F14449,2,1,explicit,"addition,multiplication"
17,626,L17_F626,2,1,applied,addition
17,7221,L17_F7221,2,1,applied,"multiplication,subtraction"
18,2844,L18_F2844,2,1,explicit,addition
18,5795,L18_F5795,2,1,applied,addition
18,8421,L18_F8421,2,1,explicit,addition
18,12090,L18_F12090,2,1,explicit,"addition,subtraction"
18,12341,L18_F12341,2,1,implicit,addition
18,15358,L18_F15358,2,1,explicit,addition
19,1441,L19_F1441,2,1,implicit,addition
