family,form,example,prompt,graph_id,layer,position,feature,feature_id,source_feature,kind,edge_to_target,mode,current_activation,baseline_margin,changed_margin,damage,status
addition,implicit,4,Record: start=2; added=2; total=?,addition_implicit_4,23,12,12563,L23_F12563,8967,random_control,,zero,4.8515625,-0.51171875,-0.5078125,-0.00390625,ok
addition,implicit,4,Record: start=2; added=2; total=?,addition_implicit_4,23,12,12563,L23_F12563,8967,random_control,,negative_original,4.8515625,-0.51171875,-0.49609375,-0.015625,ok
addition,implicit,4,Record: start=2; added=2; total=?,addition_implicit_4,24,12,5999,L24_F5999,5999,recurrent,-0.2327880859375,zero,47.96875,-0.51171875,-0.55078125,0.0390625,ok
addition,implicit,4,Record: start=2; added=2; total=?,addition_implicit_4,24,12,5999,L24_F5999,5999,recurrent,-0.2327880859375,negative_original,47.96875,-0.51171875,-0.59375,0.08203125,ok
addition,implicit,4,Record: start=2; added=2; total=?,addition_implicit_4,24,12,12843,L24_F12843,5999,random_control,,zero,9.65625,-0.51171875,-0.4765625,-0.03515625,ok
addition,implicit,4,Record: start=2; added=2; total=?,addition_implicit_4,24,12,12843,L24_F12843,5999,random_control,,negative_original,9.65625,-0.51171875,-0.44921875,-0.0625,ok
addition,implicit,4,Record: start=2; added=2; total=?,addition_implicit_4,25,12,13822,L25_F13822,13822,recurrent,0.2147216796875,zero,33.34375,-0.51171875,-0.52734375,0.015625,ok
addition,implicit,4,Record: start=2; added=2; total=?,addition_implicit_4,25,12,13822,L25_F13822,13822,recurrent,0.2147216796875,negative_original,33.34375,-0.51171875,-0.54296875,0.03125,ok
addition,implicit,4,Record: start=2; added=2; total=?,addition_implicit_4,25,12,2438,L25_F2438,13822,random_control,,zero,8.5,-0.51171875,-0.53515625,0.0234375,ok
addition,implicit,4,Record: start=2; added=2; total=?,addition_implicit_4,25,12,2438,L25_F2438,13822,random_control,,negative_original,8.5,-0.51171875,-0.54296875,0.03125,ok
addition,implicit,4,Record: start=2; added=2; total=?,addition_implicit_4,23,12,8449,L23_F8449,8449,recurrent,-0.1517333984375,zero,24.015625,-0.51171875,-0.52734375,0.015625,ok
addition,implicit,4,Record: start=2; added=2; total=?,addition_implicit_4,23,12,8449,L23_F8449,8449,recurrent,-0.1517333984375,negative_original,24.015625,-0.51171875,-0.5390625,0.02734375,ok
addition,implicit,4,Record: start=2; added=2; total=?,addition_implicit_4,23,12,11326,L23_F11326,8449,random_control,,zero,12.5078125,-0.51171875,-0.50390625,-0.0078125,ok
addition,implicit,4,Record: start=2; added=2; total=?,addition_implicit_4,23,12,11326,L23_F11326,8449,random_control,,negative_original,12.5078125,-0.51171875,-0.5,-0.01171875,ok
addition,implicit,4,Record: start=2; added=2; total=?,addition_implicit_4,1,12,14137,L1_F14137,14137,recurrent,-0.09149169921875,zero,7.54296875,-0.51171875,-0.51953125,0.0078125,ok
addition,implicit,4,Record: start=2; added=2; total=?,addition_implicit_4,1,12,14137,L1_F14137,14137,recurrent,-0.09149169921875,negative_original,7.54296875,-0.51171875,-0.5234375,0.01171875,ok
addition,implicit,4,Record: start=2; added=2; total=?,addition_implicit_4,1,12,10127,L1_F10127,14137,random_control,,zero,1.2333984375,-0.51171875,-0.515625,0.00390625,ok
addition,implicit,4,Record: start=2; added=2; total=?,addition_implicit_4,1,12,10127,L1_F10127,14137,random_control,,negative_original,1.2333984375,-0.51171875,-0.51953125,0.0078125,ok
addition,implicit,4,Record: start=2; added=2; total=?,addition_implicit_4,24,12,5668,L24_F5668,5668,recurrent,-0.07843017578125,zero,19.546875,-0.51171875,-0.51171875,0.0,ok
addition,implicit,4,Record: start=2; added=2; total=?,addition_implicit_4,24,12,5668,L24_F5668,5668,recurrent,-0.07843017578125,negative_original,19.546875,-0.51171875,-0.5,-0.01171875,ok
addition,implicit,4,Record: start=2; added=2; total=?,addition_implicit_4,24,12,2131,L24_F2131,5668,random_control,,zero,11.1875,-0.51171875,-0.515625,0.00390625,ok
addition,implicit,4,Record: start=2; added=2; total=?,addition_implicit_4,24,12,2131,L24_F2131,5668,random_control,,negative_original,11.1875,-0.51171875,-0.515625,0.00390625,ok
addition,explicit,5,calc: 1+4=,addition_explicit_5,24,7,13541,L24_F13541,13541,recurrent,0.42236328125,zero,92.0625,4.5859375,4.7734375,-0.1875,ok
addition,explicit,5,calc: 1+4=,addition_explicit_5,24,7,13541,L24_F13541,13541,recurrent,0.42236328125,negative_original,92.0625,4.5859375,4.9765625,-0.390625,ok
addition,explicit,5,calc: 1+4=,addition_explicit_5,24,7,14695,L24_F14695,13541,random_control,,zero,49.625,4.5859375,3.390625,1.1953125,ok
addition,explicit,5,calc: 1+4=,addition_explicit_5,24,7,14695,L24_F14695,13541,random_control,,negative_original,49.625,4.5859375,1.7578125,2.828125,ok
addition,explicit,5,calc: 1+4=,addition_explicit_5,25,7,15920,L25_F15920,15920,recurrent,0.403564453125,zero,110.875,4.5859375,4.734375,-0.1484375,ok
addition,explicit,5,calc: 1+4=,addition_explicit_5,25,7,15920,L25_F15920,15920,recurrent,0.403564453125,negative_original,110.875,4.5859375,4.828125,-0.2421875,ok
addition,explicit,5,calc: 1+4=,addition_explicit_5,25,7,4752,L25_F4752,15920,random_control,,zero,7.765625,4.5859375,4.578125,0.0078125,ok
addition,explicit,5,calc: 1+4=,addition_explicit_5,25,7,4752,L25_F4752,15920,random_control,,negative_original,7.765625,4.5859375,4.5703125,0.015625,ok
addition,explicit,5,calc: 1+4=,addition_explicit_5,25,7,14744,L25_F14744,14744,recurrent,0.287841796875,zero,60.78125,4.5859375,4.671875,-0.0859375,ok
addition,explicit,5,calc: 1+4=,addition_explicit_5,25,7,14744,L25_F14744,14744,recurrent,0.287841796875,negative_original,60.78125,4.5859375,4.7421875,-0.15625,ok
addition,explicit,5,calc: 1+4=,addition_explicit_5,25,7,8087,L25_F8087,14744,random_control,,zero,7.59375,4.5859375,4.6171875,-0.03125,ok
addition,explicit,5,calc: 1+4=,addition_explicit_5,25,7,8087,L25_F8087,14744,random_control,,negative_original,7.59375,4.5859375,4.6328125,-0.046875,ok
addition,explicit,5,calc: 1+4=,addition_explicit_5,25,7,4717,L25_F4717,4717,recurrent,0.2626953125,zero,171.375,4.5859375,4.9765625,-0.390625,ok
addition,explicit,5,calc: 1+4=,addition_explicit_5,25,7,4717,L25_F4717,4717,recurrent,0.2626953125,negative_original,171.375,4.5859375,5.34375,-0.7578125,ok
addition,explicit,5,calc: 1+4=,addition_explicit_5,25,7,13287,L25_F13287,4717,random_control,,zero,8.4296875,4.5859375,4.59375,-0.0078125,ok
